Parameters: 128
Epoch	Loss(Tr)	Loss(val)	Loss(Ts)	Learning_rate	Time
0	0.193732		0.116760		0.093439		0.0023		611.52
1	0.108743		0.084476		0.075690		0.0016		479.51
2	0.098149		0.077129		0.070134		0.0013		478.98
3	0.092583		0.072532		0.066637		0.0012		479.70
4	0.088437		0.068790		0.064424		0.0010		478.72
5	0.085429		0.068434		0.060986		0.0009		478.71
6	0.082963		0.064452		0.055307		0.0009		478.65
7	0.073656		0.041756		0.039222		0.0008		478.59
8	0.067143		0.040058		0.038256		0.0008		478.51
9	0.064403		0.037915		0.036686		0.0007		478.42
10	0.061928		0.037435		0.035722		0.0007		478.67
11	0.059786		0.035520		0.035252		0.0007		478.41
12	0.058126		0.034983		0.033283		0.0006		478.28
13	0.056930		0.033676		0.033049		0.0006		478.21
14	0.055125		0.034579		0.032646		0.0006		475.55
15	0.054170		0.031646		0.031856		0.0006		449.99
16	0.052806		0.033631		0.030853		0.0006		449.98
17	0.051800		0.033839		0.030792		0.0005		449.93
18	0.050993		0.031214		0.029442		0.0005		449.96
19	0.049743		0.030423		0.028165		0.0005		449.93
20	0.049192		0.029489		0.028718		0.0005		449.91
21	0.048754		0.028682		0.027541		0.0005		449.93
22	0.047377		0.030161		0.026781		0.0005		449.97
23	0.046753		0.028719		0.027448		0.0005		449.91
24	0.046141		0.028665		0.026672		0.0005		449.93
25	0.045283		0.028978		0.025367		0.0005		449.98
26	0.044976		0.027545		0.024612		0.0004		449.97
27	0.044066		0.026930		0.023971		0.0004		449.97
28	0.043406		0.027211		0.024425		0.0004		449.99
29	0.042828		0.026372		0.024086		0.0004		449.97
30	0.042225		0.026341		0.023129		0.0004		449.96
31	0.041449		0.026083		0.022973		0.0004		449.97
32	0.041344		0.025079		0.021982		0.0004		449.94
33	0.040744		0.024205		0.021664		0.0004		449.92
34	0.040331		0.024625		0.021729		0.0004		450.00
35	0.039451		0.024230		0.020332		0.0004		449.98
36	0.039139		0.023903		0.020529		0.0004		449.94
37	0.038993		0.022995		0.020424		0.0004		449.94
38	0.038475		0.023483		0.019863		0.0004		450.00
39	0.037768		0.022992		0.019588		0.0004		449.94
40	0.037401		0.022258		0.019065		0.0004		449.92
41	0.037117		0.022359		0.019109		0.0004		449.88
42	0.036382		0.021359		0.018079		0.0004		449.97
43	0.036046		0.021135		0.018150		0.0004		449.94
44	0.035576		0.021733		0.017885		0.0003		449.92
45	0.035422		0.021651		0.016942		0.0003		449.96
46	0.034543		0.021002		0.016800		0.0003		449.92
47	0.034032		0.020751		0.016522		0.0003		449.91
48	0.033668		0.019897		0.016390		0.0003		449.92
49	0.033370		0.019703		0.016469		0.0003		449.91
50	0.033115		0.019981		0.015577		0.0003		449.91
51	0.032616		0.019108		0.015100		0.0003		449.98
52	0.032178		0.019117		0.014965		0.0003		449.92
53	0.031801		0.018218		0.014974		0.0003		449.95
54	0.031328		0.018548		0.014157		0.0003		449.97
55	0.031109		0.017541		0.014083		0.0003		449.93
56	0.030715		0.018370		0.013545		0.0003		449.97
57	0.030420		0.018096		0.013359		0.0003		449.90
58	0.030232		0.017275		0.013011		0.0003		449.90
59	0.029733		0.016862		0.013187		0.0003		449.92
