Parameters: 46375258
Epoch	Loss(Tr)	Loss(val)	Loss(Ts)	Loss(Tr)std	Loss(val)std	Loss(Ts)std	Loss(0_1)	Loss(0_2)	Loss(0_3)	Loss(0_1)std	Loss(0_2)std	Loss(0_3)std	SNR(Tr_i_t)	SNR(val_i_t)	SNR(Ts_i_t)	SNR(Tr_i_t)std	SNR(val_i_t)std	SNR(Ts_i_t)std	SNR(Tr_i_o)	SNR(val_i_o)	SNR(Ts_i_o)	SNR(Tr_i_o)std	SNR(val_i_o)std	SNR(Ts_i_o)std	Learning_rate	Time
0	2.5245		1.6795		1.7206		1.2290		0.1241		0.1687		0.1434		0.1451		0.1416		0.0137		0.0140		0.0138		17.2269		17.2619		16.6594		1.2815		1.2237		1.2289		5.7072		7.7847		7.6351		2.3395		0.1791		0.2194		0.0100		302.1959
1	1.3926		1.3098		1.4049		0.1560		0.0809		0.1780		0.1175		0.1164		0.1174		0.0146		0.0145		0.0147		17.3728		17.4846		16.5779		1.2435		0.9096		1.3782		8.0896		8.3043		8.0658		0.2791		0.1478		0.2436		0.0100		305.2228
2	1.2164		1.2125		1.2448		0.1138		0.1195		0.1153		0.1042		0.1033		0.1037		0.0093		0.0095		0.0096		17.3789		17.5425		16.4872		1.3811		0.9238		1.1088		8.6583		8.9446		8.7627		0.2463		0.1507		0.2840		0.0100		305.0716
3	1.1393		1.1042		1.1736		0.1432		0.0846		0.1252		0.0984		0.0975		0.0975		0.0102		0.0103		0.0103		17.3608		17.4326		17.0147		1.2454		1.0494		0.9164		9.1677		9.4861		9.4412		0.2515		0.2346		0.2429		0.0100		306.5037
4	1.0494		1.1120		1.1540		0.0933		0.0859		0.1201		0.0955		0.0965		0.0964		0.0099		0.0099		0.0098		17.3788		17.3418		16.7519		1.2156		1.3003		1.2486		9.6021		9.2833		9.1833		0.2074		0.2171		0.2977		0.0100		307.4338
5	0.9936		1.0344		1.0693		0.1006		0.1020		0.1040		0.0892		0.0888		0.0893		0.0087		0.0084		0.0086		17.4974		17.6024		16.6440		1.2979		0.9704		1.2996		9.9094		9.7535		9.7192		0.1927		0.2301		0.2342		0.0100		309.3954
6	0.9471		0.9988		1.0583		0.0829		0.0978		0.1365		0.0887		0.0879		0.0879		0.0111		0.0111		0.0114		17.3592		17.4690		16.5936		1.2292		1.2960		1.1624		10.1410		10.0168		9.8998		0.2117		0.2016		0.2563		0.0100		307.9200
7	0.9221		0.9954		1.0352		0.0946		0.1406		0.1525		0.0869		0.0857		0.0862		0.0126		0.0123		0.0126		17.3813		17.4090		16.6572		1.2263		1.1505		0.9795		10.3206		10.2408		10.1879		0.2379		0.2141		0.1851		0.0100		307.3075
8	0.8989		0.9362		1.0108		0.0995		0.1047		0.1332		0.0851		0.0837		0.0839		0.0111		0.0110		0.0106		17.4528		17.5043		16.7097		1.2988		1.2582		1.2265		10.5074		10.5067		10.4512		0.2283		0.1945		0.2255		0.0100		307.1283
9	0.8674		0.9199		0.9809		0.0995		0.1014		0.1024		0.0826		0.0809		0.0818		0.0085		0.0083		0.0085		17.4746		17.6291		16.6781		1.2763		0.8089		1.2604		10.6394		10.6706		10.5971		0.2237		0.1650		0.2084		0.0100		306.2995
10	0.8259		0.8993		0.9353		0.0847		0.0941		0.1203		0.0787		0.0773		0.0778		0.0096		0.0098		0.0101		17.4011		17.5429		16.8262		1.2358		1.1311		1.2068		10.8435		10.8240		10.7662		0.1970		0.2571		0.2930		0.0100		307.4636
11	0.8129		0.9093		0.9272		0.0817		0.0956		0.1254		0.0781		0.0768		0.0770		0.0103		0.0104		0.0102		17.4511		17.4202		16.9042		1.2338		0.8817		1.1453		10.9468		10.6215		10.6383		0.2163		0.2611		0.2497		0.0100		305.5525
12	0.8148		0.8953		0.9321		0.0997		0.0850		0.1208		0.0778		0.0775		0.0776		0.0100		0.0102		0.0095		17.4226		17.1876		16.4244		1.2527		1.3406		1.0259		11.0054		11.2017		11.0876		0.2602		0.2900		0.3038		0.0100		307.0869
13	0.7705		0.8890		0.9155		0.0863		0.1020		0.0965		0.0767		0.0767		0.0755		0.0079		0.0078		0.0081		17.3373		17.4792		16.8683		1.2681		1.3352		0.9015		11.1928		10.8814		10.9558		0.2309		0.3190		0.2820		0.0100		309.1197
14	0.7624		0.8419		0.9252		0.0841		0.0952		0.1930		0.0772		0.0773		0.0769		0.0145		0.0171		0.0159		17.4091		17.5496		16.4497		1.3123		1.1135		1.1200		11.2950		11.2744		11.2128		0.2178		0.2755		0.2676		0.0100		308.5607
15	0.7440		0.8501		0.8765		0.0771		0.0805		0.1052		0.0726		0.0735		0.0731		0.0082		0.0094		0.0085		17.4136		17.4947		16.9141		1.2541		0.8302		1.1761		11.4221		11.1107		11.1939		0.2206		0.2717		0.2757		0.0100		307.9581
16	0.7418		0.8444		0.8717		0.0803		0.0816		0.0923		0.0730		0.0726		0.0723		0.0075		0.0074		0.0078		17.4619		17.5113		16.9680		1.2666		0.8248		0.9943		11.4818		11.0204		11.0253		0.2459		0.2732		0.2572		0.0100		308.0910
17	0.7250		0.9077		0.9407		0.1001		0.0758		0.1006		0.0798		0.0777		0.0778		0.0085		0.0082		0.0081		17.3563		17.3221		16.5489		1.3420		0.9574		0.9902		11.5537		11.6899		11.6310		0.2430		0.2532		0.2946		0.0100		306.4802
18	0.7212		0.8363		0.8727		0.0874		0.1549		0.1903		0.0719		0.0728		0.0735		0.0135		0.0165		0.0169		17.3943		17.4804		16.7611		1.4486		1.1779		1.0892		11.6200		11.2115		11.2413		0.2367		0.2820		0.3063		0.0100		305.3978
19	0.7001		0.8607		0.8562		0.0790		0.0995		0.1073		0.0712		0.0718		0.0710		0.0087		0.0088		0.0090		17.2834		17.3745		16.5501		1.2947		1.2191		1.6337		11.6929		11.0847		11.1579		0.2317		0.2948		0.3209		0.0100		306.0532
20	0.7025		0.8201		0.8474		0.0834		0.0826		0.1223		0.0707		0.0705		0.0706		0.0098		0.0101		0.0102		17.3259		17.5179		16.9892		1.2992		0.9965		1.1208		11.7335		11.8159		11.8411		0.2279		0.2714		0.2504		0.0100		308.4177
21	0.6896		0.8139		0.8276		0.0765		0.0772		0.1046		0.0689		0.0691		0.0689		0.0088		0.0087		0.0083		17.5349		17.4980		16.3683		1.2386		0.9268		1.2913		11.8262		11.5176		11.5849		0.2375		0.4241		0.3143		0.0100		308.4710
22	0.6778		0.8377		0.8429		0.0713		0.0968		0.1051		0.0705		0.0699		0.0703		0.0089		0.0085		0.0085		17.4057		17.5080		16.4528		1.2798		1.0264		1.1211		11.8703		11.1332		11.0501		0.2367		0.2813		0.3426		0.0100		306.4373
