
=== GCTNet | bruit Hybrid | epochs 100 | batch 128 ===
[GCTNet] epoch 71/100  train_mse 0.0083  val_mse 0.0591  test_mse 0.0631
[GCTNet] epoch 72/100  train_mse 0.0080  val_mse 0.0583  test_mse 0.0630
[GCTNet] epoch 73/100  train_mse 0.0080  val_mse 0.0588  test_mse 0.0636
[GCTNet] epoch 74/100  train_mse 0.0080  val_mse 0.0607  test_mse 0.0658
[GCTNet] epoch 75/100  train_mse 0.0078  val_mse 0.0584  test_mse 0.0629
[GCTNet] epoch 76/100  train_mse 0.0078  val_mse 0.0582  test_mse 0.0631
[GCTNet] epoch 77/100  train_mse 0.0077  val_mse 0.0587  test_mse 0.0634
[GCTNet] epoch 78/100  train_mse 0.0076  val_mse 0.0590  test_mse 0.0638
[GCTNet] epoch 79/100  train_mse 0.0075  val_mse 0.0606  test_mse 0.0654
[GCTNet] epoch 80/100  train_mse 0.0074  val_mse 0.0588  test_mse 0.0637
[GCTNet] epoch 81/100  train_mse 0.0074  val_mse 0.0590  test_mse 0.0636
[GCTNet] epoch 82/100  train_mse 0.0073  val_mse 0.0584  test_mse 0.0633
[GCTNet] epoch 83/100  train_mse 0.0073  val_mse 0.0598  test_mse 0.0644
[GCTNet] epoch 84/100  train_mse 0.0073  val_mse 0.0593  test_mse 0.0639
[GCTNet] epoch 85/100  train_mse 0.0072  val_mse 0.0579  test_mse 0.0626
[GCTNet] epoch 86/100  train_mse 0.0071  val_mse 0.0585  test_mse 0.0632
[GCTNet] epoch 87/100  train_mse 0.0071  val_mse 0.0602  test_mse 0.0649
[GCTNet] epoch 88/100  train_mse 0.0070  val_mse 0.0589  test_mse 0.0636
[GCTNet] epoch 89/100  train_mse 0.0071  val_mse 0.0589  test_mse 0.0636
[GCTNet] epoch 90/100  train_mse 0.0070  val_mse 0.0581  test_mse 0.0629
[GCTNet] epoch 91/100  train_mse 0.0070  val_mse 0.0591  test_mse 0.0636
[GCTNet] epoch 92/100  train_mse 0.0069  val_mse 0.0589  test_mse 0.0639
[GCTNet] epoch 93/100  train_mse 0.0070  val_mse 0.0584  test_mse 0.0631
[GCTNet] epoch 94/100  train_mse 0.0069  val_mse 0.0581  test_mse 0.0628
[GCTNet] epoch 95/100  train_mse 0.0069  val_mse 0.0601  test_mse 0.0648
[GCTNet] epoch 96/100  train_mse 0.0069  val_mse 0.0592  test_mse 0.0639
[GCTNet] epoch 97/100  train_mse 0.0068  val_mse 0.0599  test_mse 0.0652
[GCTNet] epoch 98/100  train_mse 0.0067  val_mse 0.0589  test_mse 0.0636
[GCTNet] epoch 99/100  train_mse 0.0067  val_mse 0.0592  test_mse 0.0642
[GCTNet] epoch 100/100  train_mse 0.0066  val_mse 0.0595  test_mse 0.0645
meilleur val_mse : 0.0576
